numeroDeclarationActivite,denomination,region,effectifFormateurs,stagiaires,production_estimee,macro_theme,multi_cert
1.1754134675E10,ASSOCIATION NATIONALE IRENE POPARD,Île-de-France,6,57,12.24,Autre,Non
9.130033613E10,ASSOCIATION PAUL BOUVIER /FISAF FORMATION MEDITERRANEE,Occitanie,6,256,13.07,Langues,Oui
4.4670578167E10,ASSOCIATION POUR LA FONDATION CRESUS,Grand Est,6,894,15.72,Autre,Non
1.1940872194E10,ASSOCIATION POUR LA PROMOTION ET LA FORMATION DES TECHNIQUES - COM'TECH,Île-de-France,6,32,12.13,Services,Non
7.540013704E10,ASSOCIATION PROFESSION SPORT 40,Nouvelle-Aquitaine,6,27,12.11,Commerce/Gestion,Non
3.1590740859E10,ASSOCIATION REGIONALE DE L'INDUSTRIE AUTOMOBILE HAUTS-DE-FRANCE,Hauts-de-France,6,74,12.31,Industrie,Non
7.3310530131E10,ASSOCIATION RESEAU PREVENTION VIOLENCE ORIENTATION (RESEAU PREVIOS),Occitanie,6,54,12.22,Santé,Non
2.4410132341E10,Association Responsable du LEAP de BOISSAY,Centre-Val de Loire,6,3,12.01,Commerce/Gestion,Non
4.4680337568E10,ASSOCIATION SANTE MENTALE ALSACE,Grand Est,6,177,12.74,Santé,Non
7.5240186924E10,ASSOCIATION SECONDE CHANCE 24,Nouvelle-Aquitaine,6,84,12.35,Autre,Non
3.1590747859E10,ASSOCIATION SIGNES DE SENS - CSTO,Hauts-de-France,6,843,15.51,Soft Skills,Non
1.1755802575E10,Association Sirius Productions,Île-de-France,6,32,12.13,Autre,Oui
9.3130077113E10,Association Sportive de Cavaliers duCLUB HIPPIQUE D'AIX MARSEILLE,Provence-Alpes-Côte d'Azur,6,20,12.08,Services,Oui
9.3131463813E10,ASSOCIATION TICHRI,Provence-Alpes-Côte d'Azur,6,39,12.16,Autre,Non
8.4630564963E10,ASSOCIATION TRACES DE PIERRE - Institut des Métiers d'Art de la Pierre et de la Construction,Auvergne-Rhône-Alpes,6,6,12.03,Industrie,Non
4.2670242167E10,ASSOCIATION UFORCA-STRASBOURG,Grand Est,6,84,12.35,Santé,Non
1.1754698275E10,ASSOCIATION UNION NATIONALE DES CLLAJ,Île-de-France,6,58,12.24,Juridique,Non
3.2591065059E10,ASSOCIATION Z - Code pour l'emploi,Hauts-de-France,6,30,12.12,Soft Skills,Non
7.6341136934E10,ASSOC INTERMEDIAIRE STEFI,Occitanie,6,124,12.52,Commerce/Gestion,Oui
1.1931000193E10,ASSOC PREV PAR ARTS DE RUE TREMBLAY,Île-de-France,6,29,12.12,Soft Skills,Non
9.3060602406E10,ASSO LUTHIERS ET ARCHETIERS DEVEL FACTURE INSTRUMENT,Provence-Alpes-Côte d'Azur,6,43,12.18,Autre,Non
8.4380725438E10,ASSUR'PRÉPA,Auvergne-Rhône-Alpes,6,173,12.72,Commerce/Gestion,Non
7.3310516231E10,ASTIE MURIELLE ID COUPE ET COUTURE,Occitanie,6,134,12.56,Autre,Non
1.1921917792E10,ASTREE CONSULTANTS,Île-de-France,6,991,16.13,Commerce/Gestion,Non
1.1755277475E10,ATALAN,Île-de-France,6,65,12.27,Tech/Digital,Non
4.390004999E10,ATELIER A HISTOIRES LES SINGULIERS,Bourgogne-Franche-Comté,6,65,12.27,Autre,Non
7.5240192824E10,ATELIER DE L ARBRE,Nouvelle-Aquitaine,6,275,13.15,Autre,Non
5.2440380244E10,ATELIER DU BOIS,Pays de la Loire,6,73,12.30,Autre,Non
5.4860100186E10,ATELIER EVALUATION PREV. PROMO SANTE,Nouvelle-Aquitaine,6,266,13.11,Santé,Non
5.3560953456E10,ATELIER FORMATION COIFFURE,Bretagne,6,5,12.02,Services,Non
1.1930800093E10,ATELIER  JEAN LUC FRANCOIS,Île-de-France,6,140,12.58,Autre,Non
7.5240209424E10,ATELIERS DE PERFECTIONNEMENT COIFFURE,Nouvelle-Aquitaine,6,2099,20.75,Services,Non
1.1910327991E10,ATELIER THEATRE D'OMBRES ET DE MARIONNETTES,Île-de-France,6,101,12.42,Autre,Non
7.5331546333E10,ATIGROUPE,Nouvelle-Aquitaine,6,12,12.05,Industrie,Non
