Rang,Dénomination,SIREN,Ville,CP,Région,Effectif,Stagiaires,Spécialité,Score,Priorité,Production_est,Email,LinkedIn,Statut,Notes
89,ABILITY SHARED,837564764,ANTONY,92160,Île-de-France,5,221,Développement des capacités comportementales et relationnelles,90.0,🔴,10.9,,,,
90,DEAR COACHING,793169798,,,Île-de-France,4,221,Développement des capacités comportementales et relationnelles,90.0,🔴,8.9,,,,
91,CATHERINE PAJOT - INTER ACTIONS,494208531,ST GEORGES D OLERON,17190,Nouvelle-Aquitaine,5,212,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,10.9,,,,
92,METAMOTI,508748928,CHAPONOST,69630,Auvergne-Rhône-Alpes,4,209,Développement des capacités comportementales et relationnelles,90.0,🔴,8.9,,,,
93,NEXT LEVEL,844013722,DEUIL LA BARRE,95170,Île-de-France,4,200,"Enseignement, formation",90.0,🔴,8.8,,,,
94,DB MANAGEMENT CONSEIL,439510207,CALUIRE ET CUIRE,69300,Auvergne-Rhône-Alpes,5,135,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,10.6,,,,
95,ANANTA CONSEIL,841478621,SARCENAS,38700,Auvergne-Rhône-Alpes,5,126,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,10.5,,,,
96,EFFICIENCE DENTAIRE,490935772,,,Provence-Alpes-Côte d'Azur,5,124,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,10.5,,,,
97,ECLOS'IONS,921957874,LAPALISSE,31200,Auvergne-Rhône-Alpes,4,111,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,8.5,,,,
98,LEMON ADDS,807677422,,,Nouvelle-Aquitaine,5,4095,Développement des capacités comportementales et relationnelles,85.0,🟠,27.1,,,,
99,AFCCC GERS ASS. FRANCAISE DES CENTRES CONSULTATION CONJUGALE,411400888,,,Occitanie,5,2470,Développement des capacités comportementales et relationnelles,85.0,🟠,20.3,,,,
100,WORK SAFETY SARL,949192652,AUCH,32000,Occitanie,4,2206,"Enseignement, formation",85.0,🟠,17.2,,,,
101,DICOM,410467716,CHAMPAGNE AU MONT D OR,69410,Auvergne-Rhône-Alpes,5,1829,"Comptabilité, gestion",85.0,🟠,17.6,,,,
102,GH 3 formation accompagnement conseil,832487342,PARIS 13,75013,Île-de-France,3,1820,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,13.6,,,,
103,CDF976/FNMNS FORMATIONS SECOURISME & SAUVETAGE AQUATIQUE DE MAYOTTE,921490249,PAMANDZI,97615,Mayotte,4,1699,"Enseignement, formation",85.0,🟠,15.1,,,,
104,AAAGIS CONSEIL/LAUNE CHRISTINE,402622716,NIMES,30900,Occitanie,5,1414,"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",85.0,🟠,15.9,,,,
105,SST +,879820702,PARTHENAY,79200,Nouvelle-Aquitaine,4,1399,"Enseignement, formation",85.0,🟠,13.8,,,,
106,IVOLVE,752579292,,,Île-de-France,3,1300,Développement des capacités comportementales et relationnelles,85.0,🟠,11.4,,,,
